STATION,LATITUDE,LONGITUDE,ELEVATION,NAME,TMAX_C,TMIN_C,TAVG_C,PRCP_MM,TEMP_RANGE,GDD_10,FROST_DAY,HEAT_STRESS_DAY,CLIMATE_ZONE
SPE00156459,41.7733,2.4378,1668.0,"PUIG SESOLLES, SP",11.718501026694044,5.032135523613963,0.0,13394.7,6.686365503080082,0.0,1141,0,Frío-Húmedo
SPE00156468,41.6831,0.4483,286.0,"RAIMAT, SP",20.93626934194865,8.24378507056623,0.0,5900.4,12.692484271382417,0.0,808,161,Frío-Húmedo
SPE00156477,42.2706,3.1817,24.0,"ROSES, SP",21.74206227667177,11.708456695592991,0.0,8782.4,10.033605581078781,0.0,133,65,Frío-Húmedo
SPE00156486,41.5656,2.0692,258.0,"SABADELL PARC AGRARI, SP",21.279763610315186,9.459563037249284,0.0,8672.0,11.820200573065902,0.0,345,76,Frío-Húmedo
SPE00156495,42.5192,1.3656,2451.0,"SALORIA, SP",6.1000996181305,-0.16737506226133156,0.0,16634.4,6.267474680391832,0.0,3092,0,Frío-Húmedo
SPE00156504,41.4831,2.0792,158.0,"SANT CUGAT DEL VALLES CAR, SP",22.262623891497128,10.954225352112676,0.0,5341.4,11.308398539384456,0.0,114,67,Frío-Húmedo
SPE00156513,42.2581,2.3642,852.0,"SANT PAU DE SEGURIES, SP",17.49420166638327,4.41481040639347,0.0,16992.8,13.079391259989796,0.0,1723,9,Frío-Húmedo
SPE00156522,42.1769,3.0967,4.0,"SANT PERE PESCADOR, SP",21.190290766876384,9.487128039449074,0.0,8684.6,11.703162727427308,0.0,412,22,Frío-Húmedo
SPE00156531,42.1392,1.0389,690.0,"SANT ROMA DABELLA, SP",21.475225301819417,7.822666213229042,0.0,9397.1,13.652559088590376,0.0,858,315,Frío-Húmedo
SPE00156540,41.6739,1.7678,349.0,"SANT SALVADOR DE GUARDIOLA, SP",21.671552457065125,7.077214759394661,0.0,9387.6,14.594337697670465,0.0,1087,258,Frío-Húmedo
SPE00156549,42.1069,1.8267,1167.0,"SANTUARI DE QUERALT, SP",16.95240605339228,8.003519809556197,0.0,13776.4,8.948886243836082,0.0,602,13,Frío-Húmedo
SPE00156558,42.77,0.7317,2228.0,"SASSEUVA, SP",7.247571160729504,0.5454065109936935,0.0,17096.6,6.70216464973581,0.0,2764,0,Frío-Húmedo
SPE00156567,41.9878,1.5117,691.0,"SOLSONA, SP",20.602555003548616,6.908161816891412,0.0,6684.4,13.694393186657203,0.0,690,200,Frío-Húmedo
