YEAR,TMAX_C,TMIN_C,TAVG_C,PRCP_MM,TEMP_RANGE,GDD_10,FROST_DAY,HEAT_STRESS_DAY,RAIN_DAY
1901,20.067857142857143,8.58543956043956,0.0,0.0,11.482417582417584,0.0,53,12,0
1902,16.977348066298344,5.558011049723757,0.0,0.0,11.419337016574586,0.0,36,0,0
1903,22.904347826086955,9.111413043478262,0.0,0.0,13.792934782608697,0.0,26,21,0
1904,20.202185792349727,7.690437158469945,0.0,0.0,12.511748633879781,0.0,53,21,0
1905,21.330440771349863,8.57823691460055,0.0,348.4,12.752203856749311,0.0,87,32,44
1906,20.68774373259053,9.243593314763231,0.0,507.1,11.444150417827297,0.0,75,29,51
1907,20.82486187845304,8.250828729281768,0.0,568.3,12.574033149171271,0.0,88,27,59
1908,20.883356258596976,6.630261348005502,0.0,657.4,14.253094910591471,0.0,79,11,54
1909,20.604951856946354,7.891196698762036,0.0,415.5,12.713755158184318,0.0,94,27,50
1910,20.53113854595336,8.99766803840878,0.0,397.0,11.533470507544582,0.0,73,7,53
1911,21.195342465753424,8.922876712328767,0.0,540.0,12.272465753424656,0.0,84,40,54
1912,21.240300546448086,8.855874316939891,0.0,267.1,12.384426229508197,0.0,58,8,36
1913,21.372739726027397,9.356438356164384,0.0,569.3,12.016301369863013,0.0,59,23,52
1914,20.914128943758573,9.033744855967079,0.0,508.4,11.880384087791494,0.0,57,7,53
1915,20.281614349775783,9.530642750373692,0.0,631.4,10.750971599402092,0.0,57,13,67
1916,19.513139418254763,9.558375125376129,0.0,947.1,9.954764292878636,0.0,57,8,166
1917,19.448591549295777,8.782276995305164,0.0,883.8,10.666314553990611,0.0,93,8,121
1918,18.62,9.36648401826484,0.0,1744.5,9.25351598173516,0.0,62,8,214
1919,18.262144821264894,8.140788267644364,0.0,601.5,10.121356553620531,0.0,89,19,60
1920,19.923741007194245,9.703466317854808,0.0,2099.4,10.220274689339437,0.0,171,48,226
1921,20.24871273712737,9.535636856368564,0.0,2457.1,10.713075880758808,0.0,146,66,266
